จังหวัด, PM2.5, PM2.5 เฉลี่ย24ชั่วโมงต่อเนื่อง, เวลา
ลำพูน,26.304075543156763,29.666952881680956,2026-01-17 05:00:00
นครสวรรค์,45.46152692623698,53.908241341113985,2026-01-17 05:00:00
สมุทรปราการ,17.9724262974446,47.196951800244655,2026-01-17 05:00:00
สกลนคร,54.07292418936356,45.464215087752585,2026-01-17 05:00:00
กำแพงเพชร,40.8142085477554,45.58910855996222,2026-01-17 05:00:00
สงขลา,28.28573434363087,17.796786956721217,2026-01-17 05:00:00
ปัตตานี,39.181913605368536,18.65464931925207,2026-01-17 05:00:00
ยะลา,39.03138093227421,21.010900598251073,2026-01-17 05:00:00
กาฬสินธุ์,72.28432452119407,58.222394559798964,2026-01-17 05:00:00
ราชบุรี,25.175259914228747,46.71859398166035,2026-01-17 05:00:00
ตาก,33.492682551458785,38.38781195413984,2026-01-17 05:00:00
กระบี่,37.64791861556141,19.676084513135777,2026-01-17 05:00:00
สระแก้ว,35.464458700915706,48.75077309344024,2026-01-17 05:00:00
ชลบุรี,22.01857719599217,48.357753664217476,2026-01-17 05:00:00
กาญจนบุรี,29.646894122482596,46.643893037276776,2026-01-17 05:00:00
สมุทรสงคราม,21.955478102760882,46.39348692111083,2026-01-17 05:00:00
ภูเก็ต,29.257751299561786,19.192159568851206,2026-01-17 05:00:00
เพชรบุรี,21.448975205971927,42.41793437923052,2026-01-17 05:00:00
ตรัง,39.149382029619325,22.643953951900055,2026-01-17 05:00:00
เชียงราย,15.442959187646672,20.850755912660386,2026-01-17 05:00:00
ชัยนาท,55.79703326390134,64.2046787833171,2026-01-17 05:00:00
อุดรธานี,71.80810794559422,55.65694131628467,2026-01-17 05:00:00
อ่างทอง,38.94344440409299,62.54576429249655,2026-01-17 05:00:00
น่าน,31.86257538079863,36.20577896255242,2026-01-17 05:00:00
นครปฐม,25.996158077510444,50.154636072081935,2026-01-17 05:00:00
หนองบัวลำภู,59.41215086218673,49.870202772161214,2026-01-17 05:00:00
ลพบุรี,45.91331107382671,59.940174831653486,2026-01-17 05:00:00
ขอนแก่น,65.90871830767041,55.57810405021849,2026-01-17 05:00:00
สุรินทร์,57.87307091067718,55.74776043364446,2026-01-17 05:00:00
อุบลราชธานี,62.06310290288437,49.98117346171325,2026-01-17 05:00:00
สุราษฎร์ธานี,21.627018772846125,18.320680332629934,2026-01-17 05:00:00
ศรีสะเกษ,59.50464044175781,50.464791577327325,2026-01-17 05:00:00
นครพนม,57.02273566657393,44.735543637308865,2026-01-17 05:00:00
ชัยภูมิ,52.679788275230756,51.486886517872385,2026-01-17 05:00:00
พระนครศรีอยุธยา,31.621761291798855,58.55638435736828,2026-01-17 05:00:00
ตราด,33.07727186430194,43.055219890135476,2026-01-17 05:00:00
หนองคาย,77.27769431718568,63.50701526133787,2026-01-17 05:00:00
ร้อยเอ็ด,71.1594005046743,55.484609522195036,2026-01-17 05:00:00
บึงกาฬ,37.03622934754321,38.52434425454667,2026-01-17 05:00:00
มุกดาหาร,62.75381082924162,45.180971258474436,2026-01-17 05:00:00
นนทบุรี,21.188699955199617,47.49310296421433,2026-01-17 05:00:00
สระบุรี,45.754543235480206,57.987366834055535,2026-01-17 05:00:00
พะเยา,26.1907610669481,28.573147322821356,2026-01-17 05:00:00
พิษณุโลก,51.83397988443802,52.94874547087227,2026-01-17 05:00:00
นครราชสีมา,49.128463190431,50.59088737179933,2026-01-17 05:00:00
ฉะเชิงเทรา,28.256472061576417,51.276569899537414,2026-01-17 05:00:00
ชุมพร,23.83838512138706,18.056002418825457,2026-01-17 05:00:00
กรุงเทพมหานคร,20.526936674433344,49.338295040991575,2026-01-17 05:00:00
นครนายก,33.243482337734115,44.20313293304083,2026-01-17 05:00:00
พังงา,25.46187974469214,18.099673965534734,2026-01-17 05:00:00
พัทลุง,35.67917473866745,19.089901710247297,2026-01-17 05:00:00
เพชรบูรณ์,47.073945578205844,52.30030553898451,2026-01-17 05:00:00
เชียงใหม่,14.154723111643579,19.981360952197303,2026-01-17 05:00:00
ปราจีนบุรี,37.14006057565492,50.97951911352329,2026-01-17 05:00:00
ยโสธร,61.63923250248396,47.86334455421963,2026-01-17 05:00:00
ปทุมธานี,24.074069804000427,51.336417570276325,2026-01-17 05:00:00
สุพรรณบุรี,31.730629178594118,53.156346143770996,2026-01-17 05:00:00
อุทัยธานี,40.23913089257569,50.84133531157315,2026-01-17 05:00:00
สมุทรสาคร,19.085027035618108,45.3426595575364,2026-01-17 05:00:00
ประจวบคีรีขันธ์,21.050788062261518,40.70068379727667,2026-01-17 05:00:00
ระนอง,23.56942531307757,17.894521475201305,2026-01-17 05:00:00
อุตรดิตถ์,39.14484052030334,46.82386308155256,2026-01-17 05:00:00
แพร่,30.474670790241873,36.84979736628254,2026-01-17 05:00:00
ระยอง,22.071425860488883,43.07747773590726,2026-01-17 05:00:00
เลย,50.55730620597232,47.793472531296565,2026-01-17 05:00:00
สิงห์บุรี,60.83532889686542,68.58293900380494,2026-01-17 05:00:00
อำนาจเจริญ,59.70816608745874,45.3770074504509,2026-01-17 05:00:00
พิจิตร,50.522224851469495,53.108629085664965,2026-01-17 05:00:00
แม่ฮ่องสอน,11.064501000353355,18.092561080188567,2026-01-17 06:00:00
ตาก,33.61569223466067,38.07083254258613,2026-01-17 06:00:00
เลย,51.707143310203286,47.862766494344605,2026-01-17 06:00:00
ตรัง,29.005146667284734,22.905191012244753,2026-01-17 06:00:00
ตราด,33.35013681099732,42.821973522965294,2026-01-17 06:00:00
